	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_C	param_max_iter	param_penalty	param_solver	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score
0	0.020586657524108886	0.012146500376227	0.0	0.0	1.0	100	l1	newton-cg	{'C': 1.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}													84												
1	0.013504767417907714	0.006597525353897613	0.0	0.0	1.0	100	l1	lbfgs	{'C': 1.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}													64												
2	141.90801558494567	37.58391076647954	0.019457674026489256	0.009245516861066023	1.0	100	l1	liblinear	{'C': 1.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}	0.6059567738534528	0.6122825513969425	0.628624143384291	0.6220347917764892	0.617189559715265	0.6301080938571052	0.6153440548378593	0.6182441339309254	0.6211442130239916	0.6364355391510678	0.6207363854927389	0.008579825184380305	13	0.622349150556532	0.6215582893966022	0.6210017574692442	0.6211482132396017	0.6203977622213761	0.6202220204446267	0.6224773732462435	0.622360212061744	0.6213643419934975	0.6212178905128731	0.621409701114234	0.0007520829045810088
3	2.206614279747009	0.3764396786388725	0.0040511608123779295	0.0023485616841493473	1.0	100	l2	newton-cg	{'C': 1.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}	0.602793885081708	0.6014760147601476	0.6267791249341065	0.6164997364259357	0.6198259952544161	0.6287898760875297	0.6111257579752175	0.6192987081465858	0.6166622726074348	0.6332718165040865	0.6176523187777168	0.009930248974835387	55	0.6198594024604569	0.6181605155243116	0.6187170474516696	0.6184241359109549	0.6180252482352596	0.616267830467766	0.6200755689640022	0.6198998271872529	0.6186110541577575	0.618757505638382	0.6186798135997813	0.001068705121226629
4	1.4845757961273194	0.5654257614785421	0.0027263402938842774	0.0005874425599702309	1.0	100	l2	lbfgs	{'C': 1.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}	0.60305745914602	0.6020031628887718	0.6267791249341065	0.6164997364259357	0.6198259952544161	0.6287898760875297	0.6113894015291326	0.6190350645926707	0.6166622726074348	0.6332718165040865	0.6177313909970105	0.00978430166946119	53	0.6198594024604569	0.6181898066783831	0.6187170474516696	0.6183948447568834	0.6181131191236343	0.6160627983948918	0.6201048592601272	0.6199584077795026	0.6185817638616327	0.6186403444538824	0.6186622394221064	0.0011206106698681288
5	0.8122939109802246	0.30178512613928926	0.002877616882324219	0.000727123275735442	1.0	100	l2	liblinear	{'C': 1.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}	0.6035846072746441	0.6017395888244597	0.6254612546125461	0.6172904586188719	0.6195623517005009	0.6290535196414447	0.609807540205642	0.6198259952544161	0.6179804903770103	0.6330081729501714	0.6177313979459707	0.009736397429918303	51	0.6202108963093146	0.6181605155243116	0.6186584651435266	0.618863503222027	0.6179959579391348	0.6159456372103922	0.6202806010368764	0.6199584077795026	0.6184060220848833	0.6186989250461322	0.6187178931296102	0.0012185898207225216
6	0.006012725830078125	0.00384246869198369	0.0	0.0	1.0	500	l1	newton-cg	{'C': 1.0, 'max_iter': 500, 'penalty': 'l1', 'solver': 'newton-cg'}													61												
7	0.005041432380676269	0.008840790993697695	0.0	0.0	1.0	500	l1	lbfgs	{'C': 1.0, 'max_iter': 500, 'penalty': 'l1', 'solver': 'lbfgs'}													59												
8	123.98282613754273	41.22883076918969	0.02137002944946289	0.014645757937740138	1.0	500	l1	liblinear	{'C': 1.0, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}	0.6059567738534528	0.6122825513969425	0.628624143384291	0.6220347917764892	0.617189559715265	0.6301080938571052	0.6153440548378593	0.6182441339309254	0.6211442130239916	0.6364355391510678	0.6207363854927389	0.008579825184380305	13	0.622349150556532	0.6215582893966022	0.6210017574692442	0.6211482132396017	0.6203977622213761	0.6202220204446267	0.6224773732462435	0.622360212061744	0.6213643419934975	0.6212178905128731	0.621409701114234	0.0007520829045810088
9	1.7940978765487672	0.2146350727353902	0.007324361801147461	0.006750207387675321	1.0	500	l2	newton-cg	{'C': 1.0, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg'}	0.602793885081708	0.6014760147601476	0.6267791249341065	0.6164997364259357	0.6198259952544161	0.6287898760875297	0.6111257579752175	0.6192987081465858	0.6166622726074348	0.6332718165040865	0.6176523187777168	0.009930248974835387	55	0.6198594024604569	0.6181605155243116	0.6187170474516696	0.6184241359109549	0.6180252482352596	0.616267830467766	0.6200755689640022	0.6198998271872529	0.6186110541577575	0.618757505638382	0.6186798135997813	0.001068705121226629
10	0.7162933111190796	0.238996786925533	0.0021828651428222657	0.00032328337671609685	1.0	500	l2	lbfgs	{'C': 1.0, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}	0.60305745914602	0.6020031628887718	0.6267791249341065	0.6164997364259357	0.6198259952544161	0.6287898760875297	0.6113894015291326	0.6190350645926707	0.6166622726074348	0.6332718165040865	0.6177313909970105	0.00978430166946119	53	0.6198594024604569	0.6181898066783831	0.6187170474516696	0.6183948447568834	0.6181131191236343	0.6160627983948918	0.6201048592601272	0.6199584077795026	0.6185817638616327	0.6186403444538824	0.6186622394221064	0.0011206106698681288
