	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_criterion	param_max_depth	param_max_features	param_min_samples_leaf	param_min_samples_split	param_n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score
0	0.5699373245239258	0.15845709975784764	0.013545083999633788	0.0066188867305368645	entropy	2	auto	4	2	10	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10}	0.6317870321560358	0.6304691618344754	0.6344227727991566	0.6418028465998946	0.6248352227788031	0.632217242288426	0.6285262325336145	0.6390719746902188	0.636962826258898	0.6353809649354073	0.6335476276874931	0.004795045540340315	1512	0.6442296426479204	0.6256590509666081	0.6367896895137668	0.6411833626244874	0.6329925895550804	0.632553235113207	0.6298292375735919	0.6367417474590669	0.6330804604434551	0.6349843296915731	0.6348043345588756	0.0050691759247501736
1	1.4768289804458619	0.6168162370835103	0.02848689556121826	0.017120215981770995	entropy	2	auto	4	2	20	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 20}	0.6317870321560358	0.6383763837638377	0.6375856615709015	0.6389035318924617	0.6340627471658318	0.634326390719747	0.6427629844450303	0.6533087266016346	0.6388083311363038	0.6359082520432375	0.6385830041495022	0.005721896947261733	1397	0.6420328060925601	0.6353837141183363	0.6460456942003515	0.6342706502636204	0.6398758091444304	0.6450601915585367	0.6393778741103072	0.6472862540640286	0.6318502680062096	0.6401980024018042	0.6401381263960184	0.004900839837333674
2	1.965266513824463	0.764984536027684	0.03374259471893311	0.019593403182337838	entropy	2	auto	4	2	30	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 30}	0.6320506062203479	0.6386399578281498	0.6341591987348445	0.6436478650500791	0.6129712628526233	0.6279989454257844	0.6337991036119167	0.6475085684155022	0.6422356973372001	0.634590034273662	0.634760123975011	0.00917374066304628	1491	0.6464850615114236	0.639162272993556	0.6453427065026363	0.6453427065026363	0.6301514308309657	0.6352772326528221	0.6431563223104185	0.6441229020825401	0.6451187721507864	0.6393778741103072	0.6413537281648092	0.005043505156193398
3	3.8211779832839965	1.3731381954277753	0.0644059419631958	0.0398505941493533	entropy	2	auto	4	2	50	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}	0.6415392725355825	0.6454928835002636	0.6341591987348445	0.6462836056931998	0.6417084102293699	0.6382810440284735	0.6448721328763511	0.6482994990772476	0.6514632217242289	0.6406538360137095	0.6432753104413271	0.004787368763901865	1212	0.6501171646162859	0.6448154657293498	0.6433509080257762	0.6448154657293498	0.6404030344746785	0.6479306405787763	0.6447087080050379	0.6418382589847983	0.6461146422190328	0.6505960575261416	0.6454690345889226	0.0031485479195414163
4	0.48832571506500244	0.10028379009671279	0.011222934722900391	0.0065180894970756666	entropy	2	auto	4	5	10	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10}	0.6309963099630996	0.6307327358987875	0.6304691618344754	0.6233526620980495	0.6285262325336145	0.6245715792248879	0.6348536778275771	0.6480358555233324	0.6224624307935671	0.6438175586606908	0.6317818204358081	0.008015097012809124	1545	0.6403632103104863	0.6359695371997657	0.6319859402460457	0.631634446397188	0.638059810784687	0.6310887203069623	0.6320260097829589	0.6398465188483056	0.6334612342930787	0.6413110336545502	0.6355746461824028	0.0038210497437680415
5	1.2437111377716064	0.3941561472653622	0.019920992851257324	0.012555658864256492	entropy	2	auto	4	5	20	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 20}	0.6225619399051133	0.646810753821824	0.6254612546125461	0.6497100685292567	0.6293171631953599	0.6290535196414447	0.639335618244134	0.6485631426311627	0.6388083311363038	0.6282625889796994	0.6357884380696844	0.009621145764740076	1472	0.6400410076157	0.6415055653192736	0.6311657879320445	0.6398652606912713	0.6384991652265605	0.6413696142468001	0.6433906446794178	0.6381769719691867	0.6410474209894262	0.6351307811721977	0.6390192219841878	0.003383271263179783
6	2.1810967683792115	0.8289545084817633	0.029883742332458496	0.013982545818788331	entropy	2	auto	4	5	30	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 30}	0.6320506062203479	0.63995782814971	0.6344227727991566	0.6497100685292567	0.636962826258898	0.6398629053519641	0.6414447666754548	0.6464539941998418	0.6467176377537569	0.6385446875823886	0.6406128093520777	0.005339095273353818	1308	0.6432630345635618	0.6419742237844172	0.6405096660808436	0.6444932630345636	0.6396707770715562	0.6406666471398026	0.6423947746111713	0.6458217392577839	0.6451773527430362	0.6433027737910431	0.6427274252077779	0.001962124853205024
7	3.2502846717834473	1.2067958419592615	0.04722187519073486	0.029601419991756132	entropy	2	auto	4	5	50	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}	0.6344227727991566	0.6378492356352135	0.6278334211913548	0.6457564575645757	0.6459267070920116	0.6377537569206433	0.6448721328763511	0.6453994199841814	0.6453994199841814	0.634590034273662	0.6399803358321331	0.006069383597941446	1338	0.6481253661394258	0.6407439953134153	0.6440538957234915	0.6408611599297013	0.6422190328344219	0.6475791570252776	0.6423654843150465	0.6449137400779121	0.6459681907384084	0.6440643214902902	0.6440894343587391	0.00246499761747853
8	0.7417837381362915	0.38844582963456614	0.013663721084594727	0.011779301512824754	entropy	2	auto	4	7	10	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 10}	0.6180811808118081	0.6465471797575119	0.6201897733263046	0.6302055877701634	0.6245715792248879	0.632217242288426	0.629580806749275	0.6414447666754548	0.634326390719747	0.6335354600580015	0.6310699967381581	0.008351411554270348	1554	0.6327182190978324	0.6438488576449912	0.6345342706502636	0.630257762155829	0.6296534957968425	0.6397586479599309	0.62897981898597	0.6348085879148239	0.6385284555226853	0.6369467795319411	0.6350034895261111	0.00458217647071032
9	1.1301922798156738	0.5168707775168251	0.015780329704284668	0.0070486180162635265	entropy	2	auto	4	7	20	{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 20}	0.6241433842909858	0.6391671059567738	0.632577754348972	0.6407485503426463	0.6314263116266807	0.6496177168468231	0.634590034273662	0.6517268652781439	0.6467176377537569	0.6443448457685209	0.6395060206486967	0.0083793551433175	1364	0.6369947275922672	0.6409490333919157	0.6397188049209139	0.6410661980082015	0.6440057408980405	0.6483992853167746	0.6333733634047041	0.6465247063647813	0.6436542573445417	0.6481649629477754	0.6422851080189915	0.004604663562851085
